,#,team,game,opponent,GP,W,L,T,OTL,points,GF,GA,SF,SA,PPG,PP,PP%,timesSH,PPGA,PK%,FOW,FOL,FOW%
0,1,St. Louis Blues,2016/10/22  @ CGY,CGY,1,1,0,0,0,2,6,4,40,27,2,4,50.0,3,0,100.0,32,33,49.2
1,2,Colorado Avalanche,2016/10/15  vs DAL,DAL,1,1,0,0,0,2,6,5,33,28,2,3,66.7,4,2,50.0,40,25,61.5
2,3,Boston Bruins,2016/10/17  @ WPG,WPG,1,1,0,0,0,2,4,1,25,35,0,4,0.0,5,0,100.0,36,28,56.3
3,4,Philadelphia Flyers,2016/10/22  vs CAR,CAR,1,1,0,0,0,2,6,3,27,30,1,4,25.0,5,1,80.0,29,30,49.2
4,5,Washington Capitals,2016/10/30  @ CGY,CGY,1,1,0,0,0,2,3,1,29,22,1,2,50.0,2,0,100.0,28,32,46.7
5,6,Toronto Maple Leafs,2016/10/15  vs BOS,BOS,1,1,0,0,0,2,4,1,24,25,0,4,0.0,4,1,75.0,32,20,61.5
6,7,Los Angeles Kings,2016/10/20  @ DAL,DAL,1,1,0,0,0,2,4,3,39,20,1,6,16.7,4,1,75.0,26,41,38.8
7,8,Buffalo Sabres,2016/10/30  @ WPG,WPG,1,1,0,0,0,2,3,1,28,38,0,1,0.0,6,0,100.0,36,31,53.7
8,9,Pittsburgh Penguins,2016/10/27  vs NYI,NYI,1,1,0,0,0,2,4,2,35,37,2,5,40.0,6,1,83.3,32,36,47.1
9,10,Vancouver Canucks,2016/10/20  vs BUF,BUF,1,1,0,0,0,2,2,1,20,27,1,5,20.0,5,0,100.0,30,33,47.6
10,11,Buffalo Sabres,2016/10/16  @ EDM,EDM,1,1,0,0,0,2,6,2,24,33,2,6,33.3,1,0,100.0,31,29,51.7
11,12,St. Louis Blues,2016/10/13  vs MIN,MIN,1,1,0,0,0,2,3,2,31,21,0,3,0.0,5,0,100.0,28,25,52.8
12,13,Buffalo Sabres,2016/10/29  vs FLA,FLA,1,1,0,0,0,2,3,0,25,33,2,4,50.0,4,0,100.0,37,30,55.2
13,14,Minnesota Wild,2016/10/29  vs DAL,DAL,1,1,0,0,0,2,4,0,15,29,1,2,50.0,3,0,100.0,32,29,52.5
14,15,Chicago Blackhawks,2016/10/18  vs PHI,PHI,1,1,0,0,0,2,7,4,28,27,2,3,66.7,4,2,50.0,28,29,49.1
15,16,Boston Bruins,2016/10/29  @ DET,DET,1,1,0,0,0,2,1,0,36,24,0,4,0.0,4,0,100.0,49,28,63.6
16,17,Pittsburgh Penguins,2016/10/20  vs SJS,SJS,1,1,0,0,0,2,3,2,20,34,1,5,20.0,3,0,100.0,31,28,52.5
17,18,Colorado Avalanche,2016/10/20  @ TBL,TBL,1,1,0,0,0,2,4,0,16,27,0,2,0.0,3,0,100.0,27,28,49.1
